ampl.tab 2 12
load_zone	plant_code	size_mw	fuel	heat_rate	start_year	max_age	overnight_cost	fixed_o_m	variable_o_m	forced_outage_rate	scheduled_outage_rate	baseload	cogen
Other_SCE	55518-CC	793.5	Gas	7333.75968192767	2003	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
Other_SCE	55541-GT	149.7	Gas	10005.3242407608	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	55934-GT	41	Gas	13413.0724990326	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	55935-GT	41	Gas	13276.2705748116	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	55951-GT	43.9	Gas	11252.0052607314	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	56039-GT	11.3	Gas	10465.3149353218	1987	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	56144-GT	40	Gas	12328.7856731778	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	8076-GT	54	Gas	11719.2842942346	1974	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	cogen-CC-NG	880.12	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.236960002074752	1	1
Other_SCE	cogen-GT-NG	967.915	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.112418719054802	1	1
Other_SCE	cogen-IC-NG	3.39319834975567	Gas	4265	2007	30	750	30	1	0.05	0	1	1
Other_SCE	cogen-ST-COL	173.88	Coal	4265	2007	45	967.5	25.91	4.32	0.01	0.212905386163094	1	1
Other_SCE	cogen-ST-NG	3	Gas	4265	2007	45	750	25	1	0.01	0.333619105822302	1	1
PG&E_North	50298-GT	40.7	Gas	9630.03391559283	1983	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	50964-ST	1.8	Geothermal	21761.6580310881	1988	45	1880	154.92	0	0.05	0.999871158108361	1	0
PG&E_North	55112-CC	542.5	Gas	7098.6745973501	2001	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
PG&E_North	55499-GT	45.3	Gas	10955.7734034232	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55625-GT	45	Gas	10099.0183510969	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55626-GT	45	Gas	9959.13890856578	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55627-GT	45	Gas	9852.92399896806	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55813-GT	45	Gas	9819.40639263103	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55847-GT	45	Gas	9756.64945074223	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55855-GT	45	Gas	10066.7650867108	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	55963-GT	46.1	Gas	10015.0782054311	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_North	56184-IC	44.8	Gas	9927.48038895579	2001	30	1000	30	1	0.05	0	0	0
PG&E_North	7307-CC	138.1	Gas	9091.68519473964	2002	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
PG&E_North	cogen-CC-NG	50	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.298653628724727	1	1
PG&E_North	cogen-GT-NG	97.1	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.544467888051663	1	1
PG&E_North	cogen-IC-NG	10.36	Gas	4265	2007	30	750	30	1	0.05	0.827494891121423	1	1
PG&E_South	151-GT	117	Gas	19846.0286079777	1981	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	260-CC	2498	Gas	7782.32519577772	2002	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
PG&E_South	4256-GT	48.4	Gas	18393.7117417919	1986	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	55811-GT	42.6	Gas	10146.6921650765	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	55933-GT	169.95	Gas	12269.9231912842	2003	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	7266-GT	49	Gas	9005.97515158376	1993	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	7315-GT	49.5	Gas	10240.1298062279	1996	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	7452-GT	32.45	Gas	12618.8937184992	1986	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
PG&E_South	cogen-CC-NG	146.35	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.0671244764654207	1	1
PG&E_South	cogen-GT-NG	172.85	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.324719754234532	1	1
PG&E_South	cogen-IC-NG	5.5	Gas	4265	2007	30	750	30	1	0.05	0.68382236204875	1	1
PG&E_South	cogen-ST-COL	97.7	Coal	4265	2007	45	967.5	25.91	4.32	0.01	0.0969682075212002	1	1
Sacramento	535-GT	77	Gas	13656.8845522413	1986	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Sacramento	7527-CC	101	Gas	10732.9403114554	1995	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
Sacramento	7551-CC	156.35	Gas	9669.4227445131	2001	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
Sacramento	7552-CC	164	Gas	9509.40625070323	1997	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
San_Diego	10763-ST	18.5	Geothermal	21017.0012724445	1989	45	1880	154.92	0	0.05	0.540586007781394	1	0
San_Diego	301-GT	14	Gas	17892.8063048366	1968	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	302-GT	958.5	Gas	11172.9547316453	1978	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	303-GT	131.5	Gas	17400.7353277357	1972	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	305-GT	34.5	Gas	15895.8000681233	1972	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	310-ST	693	Gas	10753.4892548633	1971	45	1000	25	1	0.01	0	0	0
San_Diego	389-CC	231.45	Gas	10727.9913487701	1993	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
San_Diego	50762-ST	10.8	Geothermal	21016.9909635426	1989	45	1880	154.92	0	0.05	0.357281458338896	1	0
San_Diego	50764-ST	10.8	Geothermal	21016.9918237838	1988	45	1880	154.92	0	0.05	0.303947813470764	1	0
San_Diego	50766-ST	23.65	Geothermal	21017.0043509828	1986	45	1880	154.92	0	0.05	0.351503668668035	1	0
San_Diego	54038-ST	18.5	Geothermal	21016.9728152598	1989	45	1880	154.92	0	0.05	0.792964918776022	1	0
San_Diego	54111-BT	68.2	Geothermal	21016.9997262701	2006	30	1880	154.92	0	0.01	0.129090126391912	1	0
San_Diego	54689-ST	45	Geothermal	21017.001777287	1985	45	1880	154.92	0	0.05	0.17464996840147	1	0
San_Diego	54724-ST	20	Geothermal	21016.9908586474	1987	45	1880	154.92	0	0.05	0.267492790194665	1	0
San_Diego	55510-GT	45.295	Gas	10850.2743589212	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	55512-GT	45	Gas	11149.4441800129	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	55513-GT	45.295	Gas	10920.0081357452	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	55538-GT	34.1	Gas	16679.1325514494	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
San_Diego	55540-GT	34.1	Gas	15154.7489470446	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
