ampl.tab 3 3
load_zone	site	date	avg_flow	min_flow	max_flow
PG&E_North	Middle_425	160408080	70.9448924731183	7.09448924731183	133
PG&E_North	Middle_425	120408180	70.9448924731183	7.09448924731183	133
PG&E_North	Middle_425	240410071	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	200410071	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	160410071	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	120410071	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	240410090	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	200410150	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	160410020	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	120410040	49.872311827957	4.9872311827957	122
PG&E_North	Middle_425	240412061	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	200412061	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	160412061	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	120412061	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	240412100	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	200412070	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	160412080	83.9233870967742	8.39233870967742	122
PG&E_North	Middle_425	120412160	83.9233870967742	8.39233870967742	122
PG&E_North	Mill_C_7147	200402260	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	160402230	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	120402220	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	240402021	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	200402021	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	160402021	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	120402021	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	240402200	0.963103448275862	0.963103448275862	0.963103448275862
PG&E_North	Mill_C_7147	160404090	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	120404100	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	240404271	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	200404271	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	160404271	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	120404271	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	240404210	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	200404270	1.27652777777778	1.27652777777778	1.27652777777778
PG&E_North	Mill_C_7147	160406160	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	120406290	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	240406151	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	200406151	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	160406151	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	120406151	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	240406300	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	200406230	1.27941666666667	1.27941666666667	1.27941666666667
PG&E_North	Mill_C_7147	160408080	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	120408180	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	240408111	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	200408111	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	160408111	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	120408111	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	240408090	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	200408010	1.12797043010753	1.12797043010753	1.12797043010753
PG&E_North	Mill_C_7147	160410020	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	120410040	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	240410071	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	200410071	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	160410071	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	120410071	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	240410090	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	200410150	0.729677419354839	0.729677419354839	0.729677419354839
PG&E_North	Mill_C_7147	160412080	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	120412160	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	240412061	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	200412061	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	160412061	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	120412061	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	240412100	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Mill_C_7147	200412070	0.816545698924731	0.816545698924731	0.816545698924731
PG&E_North	Muck_V_10458	240402021	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	200402021	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	160402021	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	120402021	7.03829022988506	7.03829022988506	7.03829022988506
PG&E_North	Muck_V_10458	240402200	7.03829022988506	7.03829022988506	7.03829022988506
