ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
1610234071	2016	160410071	16	10	23
1612014061	2016	160412061	16	12	1
1612014080	2016	160412080	480	12	1
1612034061	2016	160412061	16	12	3
1612034080	2016	160412080	480	12	3
1612054061	2016	160412061	16	12	5
1612054080	2016	160412080	480	12	5
1612074061	2016	160412061	16	12	7
1612074080	2016	160412080	480	12	7
1612094061	2016	160412061	16	12	9
1612094080	2016	160412080	480	12	9
1612114061	2016	160412061	16	12	11
1612114080	2016	160412080	480	12	11
1612134061	2016	160412061	16	12	13
1612134080	2016	160412080	480	12	13
1612154061	2016	160412061	16	12	15
1612154080	2016	160412080	480	12	15
1612174061	2016	160412061	16	12	17
1612174080	2016	160412080	480	12	17
1612194061	2016	160412061	16	12	19
1612194080	2016	160412080	480	12	19
1612214061	2016	160412061	16	12	21
1612214080	2016	160412080	480	12	21
1612234061	2016	160412061	16	12	23
1612234080	2016	160412080	480	12	23
2002014021	2020	200402021	16	2	1
2002014260	2020	200402260	436	2	1
2002034021	2020	200402021	16	2	3
2002034260	2020	200402260	436	2	3
2002054021	2020	200402021	16	2	5
2002054260	2020	200402260	436	2	5
2002074021	2020	200402021	16	2	7
2002074260	2020	200402260	436	2	7
2002094021	2020	200402021	16	2	9
2002094260	2020	200402260	436	2	9
2002114021	2020	200402021	16	2	11
2002114260	2020	200402260	436	2	11
2002134021	2020	200402021	16	2	13
2002134260	2020	200402260	436	2	13
2002154021	2020	200402021	16	2	15
2002154260	2020	200402260	436	2	15
2002174021	2020	200402021	16	2	17
2002174260	2020	200402260	436	2	17
2002194021	2020	200402021	16	2	19
2002194260	2020	200402260	436	2	19
2002214021	2020	200402021	16	2	21
2002214260	2020	200402260	436	2	21
2002234021	2020	200402021	16	2	23
2002234260	2020	200402260	436	2	23
2004014270	2020	200404270	464	4	1
2004014271	2020	200404271	16	4	1
2004034270	2020	200404270	464	4	3
2004034271	2020	200404271	16	4	3
2004054270	2020	200404270	464	4	5
2004054271	2020	200404271	16	4	5
2004074270	2020	200404270	464	4	7
2004074271	2020	200404271	16	4	7
2004094270	2020	200404270	464	4	9
2004094271	2020	200404271	16	4	9
2004114270	2020	200404270	464	4	11
2004114271	2020	200404271	16	4	11
2004134270	2020	200404270	464	4	13
2004134271	2020	200404271	16	4	13
2004154270	2020	200404270	464	4	15
2004154271	2020	200404271	16	4	15
2004174270	2020	200404270	464	4	17
2004174271	2020	200404271	16	4	17
2004194270	2020	200404270	464	4	19
2004194271	2020	200404271	16	4	19
2004214270	2020	200404270	464	4	21
2004214271	2020	200404271	16	4	21
2004234270	2020	200404270	464	4	23
2004234271	2020	200404271	16	4	23
2006014151	2020	200406151	16	6	1
2006014230	2020	200406230	464	6	1
2006034151	2020	200406151	16	6	3
2006034230	2020	200406230	464	6	3
2006054151	2020	200406151	16	6	5
2006054230	2020	200406230	464	6	5
2006074151	2020	200406151	16	6	7
2006074230	2020	200406230	464	6	7
2006094151	2020	200406151	16	6	9
2006094230	2020	200406230	464	6	9
2006114151	2020	200406151	16	6	11
2006114230	2020	200406230	464	6	11
2006134151	2020	200406151	16	6	13
2006134230	2020	200406230	464	6	13
2006154151	2020	200406151	16	6	15
2006154230	2020	200406230	464	6	15
2006174151	2020	200406151	16	6	17
2006174230	2020	200406230	464	6	17
2006194151	2020	200406151	16	6	19
2006194230	2020	200406230	464	6	19
2006214151	2020	200406151	16	6	21
2006214230	2020	200406230	464	6	21
2006234151	2020	200406151	16	6	23
2006234230	2020	200406230	464	6	23
2008014010	2020	200408010	480	8	1
2008014111	2020	200408111	16	8	1
2008034010	2020	200408010	480	8	3
2008034111	2020	200408111	16	8	3
2008054010	2020	200408010	480	8	5
2008054111	2020	200408111	16	8	5
2008074010	2020	200408010	480	8	7
2008074111	2020	200408111	16	8	7
2008094010	2020	200408010	480	8	9
2008094111	2020	200408111	16	8	9
2008114010	2020	200408010	480	8	11
2008114111	2020	200408111	16	8	11
2008134010	2020	200408010	480	8	13
2008134111	2020	200408111	16	8	13
2008154010	2020	200408010	480	8	15
2008154111	2020	200408111	16	8	15
2008174010	2020	200408010	480	8	17
2008174111	2020	200408111	16	8	17
2008194010	2020	200408010	480	8	19
2008194111	2020	200408111	16	8	19
2008214010	2020	200408010	480	8	21
2008214111	2020	200408111	16	8	21
2008234010	2020	200408010	480	8	23
2008234111	2020	200408111	16	8	23
2010014071	2020	200410071	16	10	1
2010014150	2020	200410150	480	10	1
2010034071	2020	200410071	16	10	3
2010034150	2020	200410150	480	10	3
2010054071	2020	200410071	16	10	5
2010054150	2020	200410150	480	10	5
2010074071	2020	200410071	16	10	7
2010074150	2020	200410150	480	10	7
2010094071	2020	200410071	16	10	9
2010094150	2020	200410150	480	10	9
2010114071	2020	200410071	16	10	11
2010114150	2020	200410150	480	10	11
2010134071	2020	200410071	16	10	13
2010134150	2020	200410150	480	10	13
2010154071	2020	200410071	16	10	15
2010154150	2020	200410150	480	10	15
2010174071	2020	200410071	16	10	17
