ampl.tab 2 1
load_zone	hour	system_load
Geysers	1202154021	327.709365189082
Humboldt	1202154021	140.237312746551
Imperial	1202154021	392.31100797127
Los_Angeles	1202154021	3461.32103695933
Northwest	1202154021	0
North_Coast	1202154021	125.474574779614
Orange	1202154021	3732.82999382923
Other_Bay_Area	1202154021	5058.10518770523
Other_SCE	1202154021	9768.36816914135
PG&E_North	1202154021	1890.7395663844
PG&E_South	1202154021	2074.94703451837
Sacramento	1202154021	1509.36106691386
San_Diego	1202154021	2768.03259629565
San_Francisco	1202154021	1025.38633605195
Sierra	1202154021	387.247166347727
Southwest	1202154021	0
ZP26	1202154021	1221.1867406061
Fresno	1202154220	1091.93116801832
Geysers	1202154220	328.463296264572
Humboldt	1202154220	104.514678003228
Imperial	1202154220	352.87365148185
Los_Angeles	1202154220	2830.80265532061
Northwest	1202154220	0
North_Coast	1202154220	140.158787453902
Orange	1202154220	2242.24106221218
Other_Bay_Area	1202154220	4084.48231161394
Other_SCE	1202154220	9200.96204653132
PG&E_North	1202154220	1699.68316461813
PG&E_South	1202154220	1857.83924916311
Sacramento	1202154220	1266.68917416115
San_Diego	1202154220	2560.89589186457
San_Francisco	1202154220	836.591736783733
Sierra	1202154220	294.883537326126
Southwest	1202154220	0
ZP26	1202154220	1162.79767108754
Fresno	1202174021	1521.5460167093
Geysers	1202174021	352.136750441482
Humboldt	1202174021	157.81055419162
Imperial	1202174021	391.038835181289
Los_Angeles	1202174021	3785.04356176042
Northwest	1202174021	0
North_Coast	1202174021	149.948262570095
Orange	1202174021	3798.20670244165
Other_Bay_Area	1202174021	5682.49524892222
Other_SCE	1202174021	11092.6691446122
PG&E_North	1202174021	2123.38925501088
PG&E_South	1202174021	2339.31955022164
Sacramento	1202174021	1726.69908075283
San_Diego	1202174021	3280.35475713654
San_Francisco	1202174021	1063.82354214745
Sierra	1202174021	429.609432289965
Southwest	1202174021	0
ZP26	1202174021	1176.73569467574
Fresno	1202174220	1304.66758360653
Geysers	1202174220	354.398543667952
Humboldt	1202174220	122.520041580388
Imperial	1202174220	366.867552171644
Los_Angeles	1202174220	3169.33601458972
Northwest	1202174220	0
North_Coast	1202174220	149.109166836929
Orange	1202174220	2481.75286774364
Other_Bay_Area	1202174220	4462.87037970092
Other_SCE	1202174220	10256.1069679195
PG&E_North	1202174220	1892.81271369656
PG&E_South	1202174220	2077.30286620974
Sacramento	1202174220	1410.69227535507
San_Diego	1202174220	2974.64402179247
San_Francisco	1202174220	877.370726351035
Sierra	1202174220	345.718264934148
Southwest	1202174220	0
ZP26	1202174220	1098.75796239679
Fresno	1202194021	1499.80061787362
Geysers	1202194021	364.199647649323
Humboldt	1202194021	173.223141017828
Imperial	1202194021	443.197919570522
Los_Angeles	1202194021	3733.20564112234
Northwest	1202194021	0
North_Coast	1202194021	148.969319326348
Orange	1202194021	3710.42950321251
Other_Bay_Area	1202194021	5896.3393380733
Other_SCE	1202194021	11216.7725412178
PG&E_North	1202194021	2226.07621477628
PG&E_South	1202194021	2456.00863846852
Sacramento	1202194021	1786.70037291696
San_Diego	1202194021	3364.47126351562
San_Francisco	1202194021	1047.8350073615
Sierra	1202194021	443.359798659454
Southwest	1202194021	0
ZP26	1202194021	1198.20787827997
Fresno	1202194220	1404.65029517955
Geysers	1202194220	408.68158110324
Humboldt	1202194220	139.229016782071
Imperial	1202194220	402.488390291121
Los_Angeles	1202194220	3366.1085296649
Northwest	1202194220	0
North_Coast	1202194220	173.44300711683
Orange	1202194220	2594.05895311538
Other_Bay_Area	1202194220	5008.93002246546
Other_SCE	1202194220	10896.9388240613
PG&E_North	1202194220	2140.62231282461
PG&E_South	1202194220	2358.90257256409
Sacramento	1202194220	1554.69537654898
San_Diego	1202194220	3140.3796332401
San_Francisco	1202194220	951.015168852586
Sierra	1202194220	364.468776088909
Southwest	1202194220	0
ZP26	1202194220	1137.93521127691
Fresno	1202214021	1335.73239895812
Geysers	1202214021	327.407820368667
Humboldt	1202214021	150.464357060458
Imperial	1202214021	416.482290980915
Los_Angeles	1202214021	3402.07769908724
Northwest	1202214021	0
North_Coast	1202214021	132.327209494885
Orange	1202214021	3429.6644135127
Other_Bay_Area	1202214021	5261.31337400993
Other_SCE	1202214021	10430.6772538162
PG&E_North	1202214021	2079.33412649881
PG&E_South	1202214021	2289.25744114816
Sacramento	1202214021	1577.36253136654
San_Diego	1202214021	2897.88751719416
San_Francisco	1202214021	965.308012676976
Sierra	1202214021	364.468776088909
Southwest	1202214021	0
ZP26	1202214021	1157.52379739664
Fresno	1202214220	1168.6727814687
Geysers	1202214220	356.207996655649
Humboldt	1202214220	122.375989880089
Imperial	1202214220	382.13362565142
Los_Angeles	1202214220	3149.23559638312
Northwest	1202214220	0
North_Coast	1202214220	152.046007237851
Orange	1202214220	2444.65553505298
Other_Bay_Area	1202214220	4563.34813514089
Other_SCE	1202214220	10074.4478637726
PG&E_North	1202214220	1944.12402405201
PG&E_South	1202214220	2135.61072901901
Sacramento	1202214220	1382.69167234514
San_Diego	1202214220	2727.28866351828
San_Francisco	1202214220	898.76960206457
Sierra	1202214220	295.578000702228
Southwest	1202214220	0
ZP26	1202214220	1131.53119442344
Fresno	1202234021	1071.91159225773
Geysers	1202234021	258.800092499067
Humboldt	1202234021	117.478539778783
Imperial	1202234021	355.417997061812
Los_Angeles	1202234021	2832.91848881604
Northwest	1202234021	0
North_Coast	1202234021	110.370819573582
Orange	1202234021	3158.12311346897
Other_Bay_Area	1202234021	4126.02483575143
Other_SCE	1202234021	8536.21976451221
PG&E_North	1202234021	1746.71833848471
PG&E_South	1202234021	1911.28786629293
Sacramento	1202234021	1208.02124404511
San_Diego	1202234021	2146.09624143112
San_Francisco	1202234021	823.348688555365
Sierra	1202234021	265.021612153729
Southwest	1202234021	0
ZP26	1202234021	987.755770009887
Fresno	1202234220	1187.19658771841
Geysers	1202234220	262.871292696933
Humboldt	1202234220	92.2710307707598
Imperial	1202234220	328.702368472205
Los_Angeles	1202234220	2711.25806282871
Northwest	1202234220	0
North_Coast	1202234220	118.482092553762
Orange	1202234220	2233.42273425464
Other_Bay_Area	1202234220	3698.58654740009
Other_SCE	1202234220	8903.24046226794
PG&E_North	1202234220	1474.87286559533
PG&E_South	1202234220	1602.37480774682
Sacramento	1202234220	1066.68486694737
San_Diego	1202234220	2072.36289839611
San_Francisco	1202234220	783.538665251809
Sierra	1202234220	201.686543775866
Southwest	1202234220	0
ZP26	1202234220	1137.30737099563
Fresno	1204014100	1329.51940779823
Geysers	1204014100	243.721470989265
Humboldt	1204014100	84.4927115075065
Imperial	1204014100	305.803258252542
Los_Angeles	1204014100	2269.04886228343
Northwest	1204014100	0
North_Coast	1204014100	125.334727269033
Orange	1204014100	2651.7322606441
Other_Bay_Area	1204014100	3534.04287395313
Other_SCE	1204014100	8299.75637725211
PG&E_North	1204014100	1331.11082267235
PG&E_South	1204014100	1439.00994707478
Sacramento	1204014100	860.01374949314
San_Diego	1204014100	1761.7890812633
San_Francisco	1204014100	619.77671304471
Sierra	1204014100	168.63008283473
Southwest	1204014100	0
ZP26	1204014100	1074.52334286744
Fresno	1204014271	1170.74375511402
Geysers	1204014271	254.125710627768
Humboldt	1204014271	92.1269790704611
Imperial	1204014271	340.151923582037
Los_Angeles	1204014271	2657.30430869519
Northwest	1204014271	0
North_Coast	1204014271	148.829471815767
Orange	1204014271	2877.25656554737
Other_Bay_Area	1204014271	4029.05042744619
Other_SCE	1204014271	9262.85514789471
PG&E_North	1204014271	1644.03121246852
PG&E_South	1204014271	1794.59877804605
Sacramento	1204014271	988.016506109955
San_Diego	1204014271	1891.38104181567
San_Francisco	1204014271	624.217989136198
Sierra	1204014271	163.907740354571
Southwest	1204014271	0
ZP26	1204014271	1145.21814321165
Fresno	1204034100	1296.61374258945
Geysers	1204034100	229.547552965161
Humboldt	1204034100	78.0107806197291
Imperial	1204034100	298.170221512654
Los_Angeles	1204034100	2227.7901091225
Northwest	1204034100	0
North_Coast	1204034100	122.957287580116
Orange	1204034100	2565.07011201834
Other_Bay_Area	1204034100	3305.93428435659
Other_SCE	1204034100	7849.7879303702
PG&E_North	1204034100	1228.03500231648
PG&E_South	1204034100	1321.87931179378
Sacramento	1204034100	826.679698290844
San_Diego	1204034100	1643.10588386826
San_Francisco	1204034100	592.967570332852
Sierra	1204034100	161.96323018548
Southwest	1204034100	0
ZP26	1204034100	984.114342362848
Fresno	1204034271	1097.22366402569
Geysers	1204034271	237.539226966986
Humboldt	1204034271	81.0356795027716
Imperial	1204034271	338.879750792056
Los_Angeles	1204034271	2635.08805699316
Northwest	1204034271	0
North_Coast	1204034271	142.116684611077
Orange	1204034271	2823.63762754501
Other_Bay_Area	1204034271	3743.13233328169
Other_SCE	1204034271	8753.95631446244
PG&E_North	1204034271	1874.54291597596
PG&E_South	1204034271	2056.54175661359
Sacramento	1204034271	973.349523580945
San_Diego	1204034271	1757.18895982069
San_Francisco	1204034271	612.509170349547
Sierra	1204034271	182.936032621105
Southwest	1204034271	0
ZP26	1204034271	1105.03636520961
Fresno	1204054100	1616.23623227495
Geysers	1204054100	239.650224775098
Humboldt	1204054100	80.1714242489883
Imperial	1204054100	313.43629499243
Los_Angeles	1204054100	2323.00261641694
Northwest	1204054100	0
North_Coast	1204054100	130.788865539133
Orange	1204054100	2659.334203506
Other_Bay_Area	1204054100	3361.11566759563
Other_SCE	1204054100	7980.87424173216
PG&E_North	1204054100	1289.64721142588
PG&E_South	1204054100	1391.8926276155
Sacramento	1204054100	901.347972983986
San_Diego	1204054100	1708.29614422415
San_Francisco	1204054100	597.974084959222
Sierra	1204054100	174.880253219651
Southwest	1204054100	0
ZP26	1204054100	1006.96766728898
Fresno	1204054271	1167.75228631618
Geysers	1204054271	262.720543294876
Humboldt	1204054271	97.8886954151521
Imperial	1204054271	384.677971231382
Los_Angeles	1204054271	3052.96517234097
Northwest	1204054271	0
North_Coast	1204054271	154.003915064706
Orange	1204054271	3067.60926430137
Other_Bay_Area	1204054271	4067.58999532851
Other_SCE	1204054271	9162.66217716635
PG&E_North	1204054271	2023.09913283967
PG&E_South	1204054271	2225.3544780719
Sacramento	1204054271	1253.35555368023
San_Diego	1204054271	1995.21235437735
San_Francisco	1204054271	663.866501633738
Sierra	1204054271	223.214908435036
Southwest	1204054271	0
ZP26	1204054271	1176.48454323509
Fresno	1204074100	1765.69253866717
Geysers	1204074100	286.997087112616
Humboldt	1204074100	92.5591121921536
Imperial	1204074100	369.411897751607
Los_Angeles	1204074100	2632.97222349772
Northwest	1204074100	0
North_Coast	1204074100	168.688127738995
Orange	1204074100	2838.23325885624
Other_Bay_Area	1204074100	3640.15170697717
Other_SCE	1204074100	8138.09340253297
PG&E_North	1204074100	1427.44899738907
PG&E_South	1204074100	1548.48430076686
Sacramento	1204074100	1073.35167718783
San_Diego	1204074100	1956.30850226492
San_Francisco	1204074100	645.77837565575
Sierra	1204074100	229.742859931729
Southwest	1204074100	0
ZP26	1204074100	1076.90908995192
Fresno	1204074271	1375.88657726141
Geysers	1204074271	350.327297453785
Humboldt	1204074271	133.323259726683
Imperial	1204074271	488.996140009849
Los_Angeles	1204074271	3860.15565084826
Northwest	1204074271	0
North_Coast	1204074271	197.916694907311
Orange	1204074271	3534.26734525982
Other_Bay_Area	1204074271	5075.87364626327
Other_SCE	1204074271	10568.4292860557
PG&E_North	1204074271	2114.96682389768
PG&E_South	1204074271	2329.74881256747
Sacramento	1204074271	1489.36063619248
San_Diego	1204074271	2603.61130526019
San_Francisco	1204074271	838.852740209436
Sierra	1204074271	307.661638014399
Southwest	1204074271	0
ZP26	1204074271	1392.08498779609
Fresno	1204094100	1611.17378983179
